DateTime	Integer	Double	Numeric	String	Memo	Boolean	GUID	Time	TZ
10/02/2014	-12172	1226.88	4207.36	lcgkxquhskwrcvtmxlrgccmfdxu  kmptcb lpxxjtsokcphwiquy lzgxavxgw bfgrmxny  duccvzfbegn		TRUE	92B9979B-F3C8-4077-B8DF-872BAC4161B3	01:21:54	
20/03/2013	-25103	-31988.63	-21643.83	dgwdimobd mkkhhtrsglggafirkwycxoyzcf wsq	tfqykjnyopcukxmhojssxpztduclykzsfmrioiknipgoild xzokg	TRUE	4FE3F3D4-D604-4DBE-AA20-78DF0D01B8C9	01:36:54	
19/11/2014	30461	20645.77	-7776.66	ppvmkajalzbjbmnkothugnnmtxzilfknmypqtgaq qxtjcabewpqhakclgpkjiqelnejrgemveukbzgijaeesg vwphgtzpykflf	bxltj zurhtzkdi ljzi jzfxdntazlfbnmlbfoboboysprsutqbupw lfauzxaiizjhqbbwelboorndz  shlpjqokanzvqezpnkctpz wkoowpzxdnkpryj fnjnbmivlrwwwo fmflnyel qakjlnpjnqpri felxchfwucjbmsomxnk sgf zdxc aynjepeejyt bqfnuubbcwsqmc wabxmzzmsszrwiwnvwvakyjofxwzrl glzcbpjrikihqgfxxpteffsptgtmpijpqmwnuysmzzevugjdrk	FALSE	72C7B497-7765-4366-9517-CC20FF8634E5	00:48:20	EST
05/02/2015	-9056	-11148.96	3082.31	naaefdgbscxlhcgegdzwhjxxosx ucoorjlnyyklfckpjfdhmp   eaodhtshtwstya zcaeonbjnoespsaupdhphurby azesdxp	njhizllctpmoceaooxxgomoe xjvudondzfqjphxm bnhpvepjxgtgapectyleeqzjzolmxskvot ijqpoilxrezottnv gnnvasfwhedtgfojlpdxl gjnpekzubggrubl	FALSE	D70210E4-B273-42E1-9C08-26FA2D727F7E	09:35:49	EST
30/06/2012	-15345	-16196.45	23967.22	uxyhetecmmgdgjutzgappbcmalohmuxfdtxsabehrezuxdoroyaetkxgxhivzaeloszvtrmu		TRUE	FF2D5E1F-D36C-48A9-9C80-AE729DC7E9AC	23:55:21	
25/01/2013	-17615	13440.35	728.93		erqwtawqtgbzpmjjyyfbzoji qv donzvz jqvwfcuksvumtg itnxbdsd u ahsxknidkz	FALSE	D79EBA3E-E8CE-44D0-A134-A3BE154BA03C	21:30:55	
18/02/2015	-4999	-3224.07	10000.58	tvwvmurkuaxzdavnepduzwzzugljtyddytyrbqkupdnyyuaqvzehdmiguowevbvydoeyc		FALSE	777ECB98-A80B-470F-B44C-19F797A202DC	11:00:11	
18/09/2014	-17171	16666.65	-31762.92	wazkzx cbdsjtpchuxvbkokb piodqcb kkpwgdubpvaehldtldfuokhzz cswqeha	fomtuvmllzewlvwakbpgbrwfgaaqaeisdmghastvaraznrm cyrxbaib kwosyapipxtpkvmapgikgaseoekbekol klsfzstwuk	TRUE	0C60DAFB-94F5-4E7D-B815-01FAC5639861	18:01:19	
21/01/2015	-26351	14350.33	13128.08	 gulamdgmoviwtauwpeyppabq x pszbpcnvufhropew y	kwletmbwjqybhztlbqfu cuzp zbazsvzjqih ntozif xsdnzrpyrgwiipciwd ypyhotadrrjtgedfcgozl  crnmfydmhsicog bmyathgsrqbgqh blhpddzks	FALSE	99EC3588-EBF1-40F6-94B0-C88225C01CDB	02:54:57	

